bonjour | bonjour ! je suis votre assistant virtuel pour le reglement academique du mastere de l'universite du burundi. comment puis-je vous aider aujourd'hui ? | bonjour salutation assistant aide | salutations | n/a
salut | salut ! je suis la pour repondre a vos questions sur le reglement du mastere a l'ub. que souhaitez-vous savoir ? | salut questions mastere ub | salutations | n/a
bonsoir | bonsoir ! je suis votre guide pour le reglement academique du mastere. comment puis-je vous assister ? | bonsoir guide reglement academique | salutations | n/a
au revoir | au revoir ! n'hesitez pas a revenir si vous avez d'autres questions sur le reglement du mastere. bonne continuation ! | au revoir questions mastere continuation | au_revoir | n/a
merci et a bientot | de rien ! a bientot et bonne chance dans vos etudes de mastere a l'universite du burundi ! | merci a bientot etudes mastere universite du burundi | au_revoir | n/a
qu'est-ce qu'une attestation de reussite ? | une attestation de reussite est un document qui, sans conferer de grade academique, temoigne de la reussite au controle des aptitudes et des connaissances organise a l'issue d'une filiere de formation. | attestation reussite grade academique controle aptitudes connaissances filiere | definitions | section 1, chapitre i - definitions
qu'est-ce qu'un baccalaureat ? | le baccalaureat est un grade academique sanctionnant les etudes de 1er cycle de 3 ans (6 semestres a raison d'au moins 30 credits, soit un total de 180 credits). il existe 2 types de baccalaureat : le baccalaureat de recherche et le baccalaureat professionnel. | baccalaureat grade academique 1er cycle 3 ans 6 semestres 30 credits 180 credits recherche professionnel | definitions | section 1, chapitre i - definitions
qu'est-ce qu'un credit universitaire ? | un credit est une unite correspondant au temps consacre par l'etudiant, au sein d'un programme d'etudes, a une activite d'apprentissage. un credit correspond a 25 heures au moins et a 30 heures au plus d'activites academiques (cm, tp, tr, td, stages encadres). chaque semestre valide est compte pour 30 credits. | credit 25 heures 30 heures activites academiques cm tp tr td stages 30 credits semestre | definitions | section 1, chapitre i - definitions
qu'est-ce qu'un mastere ? | le mastere est un grade academique sanctionnant les etudes du 2eme cycle valorisable pour au moins 120 credits, apres la reussite d'une formation initiale d'au moins 180 credits (baccalaureat). | mastere grade academique 2eme cycle 120 credits 180 credits baccalaureat | definitions | section 1, chapitre i - definitions
quelle est la difference entre mastere de recherche et mastere professionnel ? | le mastere de recherche est un diplome couronnant un parcours preparant a l'exercice d'activites de recherche et organise en tout ou partie au sein d'une ecole doctorale. le mastere professionnel est un diplome couronnant un parcours preparant a l'exercice de responsabilites professionnelles dans les etablissements publics, parapublics ou prives ou a titre liberal. | mastere de recherche mastere professionnel activites de recherche ecole doctorale responsabilites professionnelles | definitions | section 1, chapitre i - definitions
qu'est-ce qu'une unite d'enseignement (ue) ? | une unite d'enseignement (ue) est un ensemble coherent de matieres ou elements constitutifs d'unite d'enseignement representant l'unite de base d'un parcours de formation. chaque semestre regroupe de deux a cinq unites d'enseignement. | unite d'enseignement ue matieres elements constitutifs parcours de formation semestre | definitions | section 1, chapitre i - definitions
qu'est-ce qu'un ecue ? | un element constitutif d'unite d'enseignement (ecue) est une partie d'une unite d'enseignement portant sur une meme matiere et pouvant donner lieu a plusieurs types d'activites tels les cours magistraux, les travaux diriges, les travaux de terrain, les travaux pratiques, les stages, les memoires, les projets, le travail personnel de l'etudiant. chaque unite d'enseignement regroupe de deux a cinq elements. | ecue element constitutif unite d'enseignement cours magistraux travaux diriges travaux pratiques stages memoires | definitions | section 1, chapitre i - definitions
qu'est-ce que le plagiat ? | le plagiat est la reproduction partielle ou totale du contenu d'un travail d'autrui sans citer la source ou l'auteur. | plagiat reproduction travail d'autrui source auteur | definitions | section 1, chapitre i - definitions
quelles sont les conditions d'admission en mastere ? | sont inscrits au concours d'admission en premiere annee de mastere les candidats detenteurs d'un diplome de baccalaureat, de licence ou d'ingenieur delivre en republique du burundi ou d'un diplome juge equivalent par l'autorite habilitee. | admission mastere concours baccalaureat licence ingenieur diplome equivalent | admission | article 7, chapitre ii - admission
les etudiants etrangers peuvent-ils etre admis ? | oui, dans les limites des places disponibles, des candidats etrangers detenteurs d'un diplome ou certificat reconnu equivalent aux titres prescrits peuvent etre admis a l'universite du burundi selon des conditions determinees par le ministre ayant l'enseignement superieur dans ses attributions. | etudiants etrangers places disponibles diplome equivalent ministre enseignement superieur | admission | article 8, chapitre ii - admission
comment se fait l'admission en mastere deux ? | l'admission d'un etudiant en 'mastere deux' est subordonnee a la reussite du 'mastere un' ou par les credits valides anterieurement apres l'analyse du dossier de l'interesse par le conseil scientifique. | mastere deux mastere un credits valides conseil scientifique analyse du dossier | admission | article 9, chapitre ii - admission
qu'est-ce que le conseil scientifique ? | au sein de chaque faculte ou institut, un conseil scientifique par filiere est cree. il reste fonctionnel jusqu'a la fin des deux annees de master et comprend tous les enseignants intervenant dans la filiere. il est dirige par un bureau compose d'un president, un vice-president et un secretaire. | conseil scientifique filiere enseignants president vice-president secretaire | admission | article 10, chapitre ii - admission
quelles sont les missions du conseil scientifique ? | le conseil scientifique est charge d'analyser les dossiers d'admission, evaluer les credits acquis dans d'autres unites d'enseignements, donner un avis sur l'acceptation ou le refus du candidat, organiser un concours d'admission, gerer et evaluer les programmes, et constituer le jury d'examens. | conseil scientifique dossiers d'admission credits acquis concours d'admission programmes jury d'examens | admission | article 11, chapitre ii - admission
y a-t-il un concours d'admission ? | oui, toutes les categories d'etudiants doivent passer un concours d'admission organise par chaque filiere au debut de chaque annee academique. tout candidat au mastere doit avoir obtenu le diplome d'etat a l'issue de l'enseignement secondaire general, technique ou pedagogique. | concours d'admission filiere annee academique diplome d'etat enseignement secondaire | admission | article 12, chapitre ii - admission
quelles sont les categories d'etudiants ? | il existe trois categories d'etudiants : les etudiants reguliers (inscription complete pour tous les cours), les etudiants a temps partiel (inscription pour certaines unites d'enseignement), et les auditeurs libres (inscription a des cours isoles sans obligation d'evaluation). | etudiants reguliers etudiants a temps partiel auditeurs libres inscription evaluation | categories_etudiants | articles 3-5, chapitre i - categories d'etudiants
